,,,time,stop_reasons,success,lemma_count,failed_proof_count,proofs_later_filtered,file_name
no expl proofs,sg_clam,23,0.026688707000000002,['Saturated'],True,2,0,0,goal-sg77.smt2.stats.json
no expl proofs,sg_clam,24,0.0010947580000000001,[],True,0,0,0,goal-sg31.smt2.stats.json
no expl proofs,sg_clam,25,3.375894783,"['IterationLimit', 'Saturated']",True,6,0,5,goal-sg80.smt2.stats.json
no expl proofs,sg_clam,26,0.0008791340000000001,[],True,0,0,0,goal-sg5.smt2.stats.json
no expl proofs,sg_clam,27,0.00112615,[],True,0,0,0,goal-sg30.smt2.stats.json
no expl proofs,sg_clam,28,0.000422382,[],True,0,0,0,goal-sg48.smt2.stats.json
no expl proofs,sg_clam,29,0.0006100680000000001,[],True,0,0,0,goal-sg3.smt2.stats.json
no expl proofs,sg_clam,30,0.001935548,[],True,0,0,0,goal-sg32.smt2.stats.json
no expl proofs,sg_clam,31,0.0192609,['Saturated'],True,1,0,0,goal-sg79.smt2.stats.json
no expl proofs,sg_clam,32,3.5409518120000003,"['IterationLimit', 'Saturated']",True,6,3,2,goal-sg11.smt2.stats.json
no expl proofs,sg_clam,33,2.236406971,"['IterationLimit', 'Saturated']",True,3,0,0,goal-sg19.smt2.stats.json
no expl proofs,sg_clam,34,0.000687891,[],True,0,0,0,goal-sg12.smt2.stats.json
no expl proofs,sg_clam,35,0.000750763,[],True,0,0,0,goal-sg76.smt2.stats.json
no expl proofs,sg_clam,36,0.043798050000000005,['IterationLimit'],True,1,0,0,goal-sg18.smt2.stats.json
no expl proofs,sg_clam,37,6.078026444,"['IterationLimit', 'Saturated']",True,16,1,7,goal-sg81.smt2.stats.json
no expl proofs,sg_clam,38,0.0010758,[],True,0,0,0,goal-sg75.smt2.stats.json
no expl proofs,sg_clam,39,0.001011854,[],True,0,0,0,goal-sg29.smt2.stats.json
no expl proofs,sg_clam,40,16.028149899,"['IterationLimit', 'Saturated']",True,10,1,3,goal-sg6.smt2.stats.json
no expl proofs,sg_clam,41,0.001247697,[],True,0,0,0,goal-sg28.smt2.stats.json
no expl proofs,sg_clam,42,3.652457801,['IterationLimit'],False,4,16,2,goal-sg23.smt2.stats.json
no expl proofs,sg_clam,43,7.045132867,"['IterationLimit', 'Saturated']",True,4,1,0,goal-sg78.smt2.stats.json
no expl proofs,sg_clam,44,0.0012988420000000001,[],True,0,0,0,goal-sg7.smt2.stats.json
no expl proofs,sg_clam,45,0.000459256,[],True,0,0,0,goal-sg34.smt2.stats.json
no expl proofs,hipspec,0,0.00034294100000000004,[],True,0,0,0,rev-equiv-goal1.smt2.stats.json
no expl proofs,hipspec,1,0.000996491,[],True,0,0,0,rotate-goal2.smt2.stats.json
no expl proofs,hipspec,2,0.001196362,[],True,0,0,0,rev-equiv-goal5.smt2.stats.json
no expl proofs,hipspec,3,1.044962091,['IterationLimit'],True,8,10,0,nichomachus-goal8.smt2.stats.json
no expl proofs,hipspec,4,0.000318171,[],True,0,0,0,rotate-goal1.smt2.stats.json
no expl proofs,hipspec,5,0.001013941,[],True,0,0,0,rev-equiv-goal6.smt2.stats.json
no expl proofs,hipspec,6,0.136517409,['IterationLimit'],True,3,0,0,nichomachus-goal2.smt2.stats.json
no expl proofs,hipspec,7,11.617240801,['IterationLimit'],False,9,401,4,nichomachus-goal6.smt2.stats.json
no expl proofs,hipspec,8,0.7673752380000001,"['IterationLimit', 'Saturated']",True,4,59,0,rev-equiv-goal7.smt2.stats.json
no expl proofs,hipspec,9,0.029385183000000002,[],True,0,0,0,rotate-goal5.smt2.stats.json
no expl proofs,hipspec,10,23.163381224,['IterationLimit'],True,11,2,12,rotate-goal6.smt2.stats.json
no expl proofs,hipspec,11,0.662309574,"['IterationLimit', 'Saturated']",True,3,1,2,rev-equiv-goal8.smt2.stats.json
no expl proofs,hipspec,12,0.13348268600000002,['IterationLimit'],True,3,0,0,nichomachus-goal1.smt2.stats.json
no expl proofs,hipspec,13,18.500429524,"['IterationLimit', 'NodeLimit']",True,12,5,2,nichomachus-goal5.smt2.stats.json
no expl proofs,hipspec,14,0.9742906330000001,['IterationLimit'],True,7,5,6,nichomachus-goal3.smt2.stats.json
no expl proofs,hipspec,15,9.183213292,['IterationLimit'],True,6,0,0,rotate-goal8.smt2.stats.json
no expl proofs,hipspec,16,0.5532980980000001,"['IterationLimit', 'Saturated']",True,2,2,0,rev-equiv-goal3.smt2.stats.json
no expl proofs,hipspec,17,0.000647551,[],True,0,0,0,rev-equiv-goal2.smt2.stats.json
no expl proofs,hipspec,18,0.00045855,[],True,0,0,0,rev-equiv-goal4.smt2.stats.json
no expl proofs,clam_trimmed,0,0.644014219,"['IterationLimit', 'Saturated']",True,2,16,0,goal12.smt2.stats.json
no expl proofs,clam_trimmed,1,4.102207316,"['IterationLimit', 'Saturated']",True,4,2,2,goal28.smt2.stats.json
no expl proofs,clam_trimmed,2,0.019368092,[],True,0,0,0,goal39.smt2.stats.json
no expl proofs,clam_trimmed,3,6.790350015,['IterationLimit'],True,5,1,1,goal83.smt2.stats.json
no expl proofs,clam_trimmed,4,0.6126744820000001,"['IterationLimit', 'Saturated']",True,3,21,0,goal81.smt2.stats.json
no expl proofs,clam_trimmed,5,0.18125801100000002,"['IterationLimit', 'Saturated']",True,3,2,0,goal19.smt2.stats.json
no expl proofs,clam_trimmed,6,9.559535507,['IterationLimit'],False,5,0,0,goal69.smt2.stats.json
no expl proofs,clam_trimmed,7,15.057322864,['IterationLimit'],True,13,2,31,goal85.smt2.stats.json
no expl proofs,clam_trimmed,8,7.333983282,['IterationLimit'],True,7,2,3,goal32.smt2.stats.json
no expl proofs,clam_trimmed,9,0.003322746,[],True,0,0,0,goal68.smt2.stats.json
no expl proofs,clam_trimmed,10,0.339413132,"['IterationLimit', 'Saturated']",True,3,0,0,goal7.smt2.stats.json
no expl proofs,clam_trimmed,11,0.152297447,['IterationLimit'],False,2,0,0,goal64.smt2.stats.json
no expl proofs,clam_trimmed,12,0.0009316060000000001,[],True,0,0,0,goal60.smt2.stats.json
no expl proofs,clam_trimmed,13,0.0006494550000000001,[],True,0,0,0,goal58.smt2.stats.json
no expl proofs,clam_trimmed,14,0.268702171,"['IterationLimit', 'Saturated']",False,2,0,0,goal2.smt2.stats.json
no expl proofs,clam_trimmed,15,0.0007705250000000001,[],True,0,0,0,goal52.smt2.stats.json
no expl proofs,clam_trimmed,16,0.0008027280000000001,[],True,0,0,0,goal74.smt2.stats.json
no expl proofs,clam_trimmed,17,0.020303549,[],True,0,0,0,goal38.smt2.stats.json
no expl proofs,clam_trimmed,18,6.85419035,['IterationLimit'],True,4,1,0,goal21.smt2.stats.json
no expl proofs,clam_trimmed,19,0.128079095,"['IterationLimit', 'Saturated']",True,2,1,0,goal79.smt2.stats.json
no expl proofs,clam_trimmed,20,0.903763713,"['IterationLimit', 'Saturated']",True,4,19,2,goal82.smt2.stats.json
no expl proofs,clam_trimmed,21,0.000773882,[],True,0,0,0,goal61.smt2.stats.json
no expl proofs,clam_trimmed,22,0.443294497,"['IterationLimit', 'Saturated']",True,4,1,2,goal80.smt2.stats.json
no expl proofs,clam_trimmed,23,0.022708484,[],True,0,0,0,goal46.smt2.stats.json
no expl proofs,clam_trimmed,24,0.169143109,"['IterationLimit', 'Saturated']",True,3,1,1,goal30.smt2.stats.json
no expl proofs,clam_trimmed,25,0.012041647,[],True,0,0,0,goal56.smt2.stats.json
no expl proofs,clam_trimmed,26,8.755943507,['IterationLimit'],False,5,0,0,goal14.smt2.stats.json
no expl proofs,clam_trimmed,27,0.0005806520000000001,[],True,0,0,0,goal3.smt2.stats.json
no expl proofs,clam_trimmed,28,0.8585028020000001,"['IterationLimit', 'Saturated']",True,4,21,0,goal78.smt2.stats.json
no expl proofs,clam_trimmed,29,0.000561685,[],True,0,0,0,goal53.smt2.stats.json
no expl proofs,clam_trimmed,30,28.349276187,"['IterationLimit', 'Saturated']",False,3,0,0,goal40.smt2.stats.json
no expl proofs,clam_trimmed,31,3.900864156,['IterationLimit'],True,3,1,0,goal48.smt2.stats.json
no expl proofs,clam_trimmed,32,0.036984932000000005,"['IterationLimit', 'Saturated']",True,2,2,0,goal1.smt2.stats.json
no expl proofs,clam_trimmed,33,0.021646089,[],True,0,0,0,goal45.smt2.stats.json
no expl proofs,clam_trimmed,34,0.409689599,"['IterationLimit', 'Saturated']",True,2,18,0,goal77.smt2.stats.json
no expl proofs,clam_trimmed,35,0.007066584000000001,[],True,0,0,0,goal54.smt2.stats.json
no expl proofs,clam_trimmed,36,0.0006301200000000001,[],True,0,0,0,goal63.smt2.stats.json
no expl proofs,clam_trimmed,37,0.22347471800000002,"['IterationLimit', 'Saturated']",True,3,2,0,goal10.smt2.stats.json
no expl proofs,clam_trimmed,38,0.343611688,['IterationLimit'],False,2,2,0,goal23.smt2.stats.json
no expl proofs,clam_trimmed,39,6.815413375,['IterationLimit'],False,5,0,0,goal62.smt2.stats.json
no expl proofs,clam_trimmed,40,0.186340428,"['IterationLimit', 'Saturated']",True,3,2,0,goal17.smt2.stats.json
no expl proofs,clam_trimmed,41,0.16233550100000002,['IterationLimit'],True,3,1,1,goal26.smt2.stats.json
no expl proofs,clam_trimmed,42,0.000703811,[],True,0,0,0,goal51.smt2.stats.json
no expl proofs,clam_trimmed,43,0.128263566,"['IterationLimit', 'Saturated']",True,2,1,0,goal18.smt2.stats.json
no expl proofs,clam_trimmed,44,8.970630716,"['IterationLimit', 'Saturated']",False,2,0,0,goal36.smt2.stats.json
no expl proofs,clam_trimmed,45,0.006924335,[],True,0,0,0,goal49.smt2.stats.json
no expl proofs,clam_trimmed,46,0.795293052,"['IterationLimit', 'Saturated']",False,4,10,0,goal75.smt2.stats.json
no expl proofs,clam_trimmed,47,1.052669514,"['IterationLimit', 'Saturated']",True,4,21,0,goal29.smt2.stats.json
no expl proofs,clam_trimmed,48,0.008553477,[],True,0,0,0,goal71.smt2.stats.json
no expl proofs,clam_trimmed,49,29.655269176,"['IterationLimit', 'Saturated']",False,2,0,0,goal41.smt2.stats.json
no expl proofs,clam_trimmed,50,0.014177351000000001,[],True,0,0,0,goal37.smt2.stats.json
no expl proofs,clam_trimmed,51,37.526402048,['IterationLimit'],False,5,2,0,goal70.smt2.stats.json
no expl proofs,clam_trimmed,52,0.048249756000000005,['IterationLimit'],False,5,0,2,goal66.smt2.stats.json
no expl proofs,clam_trimmed,53,2.847920661,"['IterationLimit', 'Saturated']",True,2,1,0,goal76.smt2.stats.json
no expl proofs,clam_trimmed,54,0.001222002,[],True,0,0,0,goal55.smt2.stats.json
no expl proofs,clam_trimmed,55,0.6133735680000001,"['IterationLimit', 'Saturated']",False,4,3,2,goal5.smt2.stats.json
no expl proofs,clam_trimmed,56,89.390566575,"['IterationLimit', 'NodeLimit']",True,15,204,9,goal84.smt2.stats.json
no expl proofs,clam_trimmed,57,0.016407368000000002,"['IterationLimit', 'Saturated']",True,3,0,1,goal15.smt2.stats.json
no expl proofs,clam_trimmed,58,0.46792219,"['IterationLimit', 'Saturated']",True,3,2,0,goal59.smt2.stats.json
no expl proofs,clam_trimmed,59,0.07616998500000001,['Saturated'],True,1,0,0,goal31.smt2.stats.json
no expl proofs,clam_trimmed,60,0.000432838,[],True,0,0,0,goal72.smt2.stats.json
no expl proofs,clam_trimmed,61,40.406458844,['IterationLimit'],False,5,2,0,goal50.smt2.stats.json
no expl proofs,clam_trimmed,62,0.143733925,['IterationLimit'],False,2,0,3,goal20.smt2.stats.json
no expl proofs,clam_trimmed,63,0.145951582,['IterationLimit'],False,2,0,1,goal22.smt2.stats.json
no expl proofs,clam_trimmed,64,0.148880124,"['IterationLimit', 'Saturated']",False,2,1,0,goal4.smt2.stats.json
no expl proofs,clam_trimmed,65,0.0018033550000000002,[],True,0,0,0,goal67.smt2.stats.json
no expl proofs,clam_trimmed,66,0.31892663200000004,"['IterationLimit', 'Saturated']",True,4,1,2,goal27.smt2.stats.json
no expl proofs,clam_trimmed,67,9.388329893,['IterationLimit'],False,5,0,0,goal47.smt2.stats.json
no expl proofs,clam_trimmed,68,0.001181392,[],True,0,0,0,goal65.smt2.stats.json
no expl proofs,clam_trimmed,69,1.67168658,['IterationLimit'],True,12,2,3,goal73.smt2.stats.json
no expl proofs,clam_trimmed,70,0.370211491,"['IterationLimit', 'Saturated']",True,4,2,0,goal11.smt2.stats.json
no expl proofs,clam_trimmed,71,0.019664451000000003,['IterationLimit'],True,2,0,0,goal16.smt2.stats.json
no expl proofs,clam_trimmed,72,0.018984999000000002,[],True,0,0,0,goal57.smt2.stats.json
no expl proofs,clam_trimmed,73,0.08111420000000001,['IterationLimit'],True,3,1,1,goal13.smt2.stats.json
no expl proofs,clam_trimmed,74,0.0009443520000000001,[],True,0,0,0,goal25.smt2.stats.json
no expl proofs,clam_trimmed,75,0.01891034,['IterationLimit'],True,2,0,0,goal24.smt2.stats.json
no expl proofs,clam_trimmed,76,0.886541683,"['IterationLimit', 'Saturated']",True,8,5,7,goal6.smt2.stats.json
